,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,team,total,home,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,42.0,91.0,0.462,14.0,39.0,0.359,20.0,23.0,0.87,11.0,31.0,42.0,23.0,6.0,4.0,13.0,20.0,118.0,,,,10.0,23.0,1.0,6.0,14.0,0.6,6.0,8.0,1.0,3.0,7.0,10.0,4.0,1.0,3.0,6.0,4.0,29.0,20.2,14.0,UTA,118,0,240.0,39.0,83.0,0.47,13.0,42.0,0.31,22.0,27.0,0.815,10.0,33.0,43.0,27.0,11.0,8.0,18.0,22.0,113.0,,,,8.0,19.0,1.0,4.0,13.0,1.0,8.0,9.0,1.0,3.0,7.0,8.0,7.0,4.0,4.0,5.0,5.0,23.0,20.3,7.0,POR,113,1,2023,2022-11-19,True
1,240.0,39.0,83.0,0.47,13.0,42.0,0.31,22.0,27.0,0.815,10.0,33.0,43.0,27.0,11.0,8.0,18.0,22.0,113.0,,,,8.0,19.0,1.0,4.0,13.0,1.0,8.0,9.0,1.0,3.0,7.0,8.0,7.0,4.0,4.0,5.0,5.0,23.0,20.3,7.0,POR,113,1,240.0,42.0,91.0,0.462,14.0,39.0,0.359,20.0,23.0,0.87,11.0,31.0,42.0,23.0,6.0,4.0,13.0,20.0,118.0,,,,10.0,23.0,1.0,6.0,14.0,0.6,6.0,8.0,1.0,3.0,7.0,10.0,4.0,1.0,3.0,6.0,4.0,29.0,20.2,14.0,UTA,118,0,2023,2022-11-19,False
2,240.0,39.0,92.0,0.424,8.0,33.0,0.242,18.0,19.0,0.947,8.0,34.0,42.0,27.0,3.0,4.0,11.0,23.0,104.0,,,,14.0,25.0,0.56,3.0,8.0,0.667,9.0,10.0,1.0,1.0,11.0,12.0,10.0,1.0,1.0,3.0,5.0,39.0,32.5,15.0,PHO,104,0,240.0,38.0,98.0,0.388,13.0,47.0,0.277,26.0,29.0,0.897,20.0,39.0,59.0,23.0,9.0,5.0,14.0,19.0,115.0,,,,12.0,28.0,0.667,5.0,16.0,0.5,7.0,8.0,1.0,5.0,7.0,12.0,7.0,4.0,3.0,4.0,4.0,32.0,28.1,23.0,CHO,115,1,2025,2025-01-07,False
3,240.0,38.0,98.0,0.388,13.0,47.0,0.277,26.0,29.0,0.897,20.0,39.0,59.0,23.0,9.0,5.0,14.0,19.0,115.0,,,,12.0,28.0,0.667,5.0,16.0,0.5,7.0,8.0,1.0,5.0,7.0,12.0,7.0,4.0,3.0,4.0,4.0,32.0,28.1,23.0,CHO,115,1,240.0,39.0,92.0,0.424,8.0,33.0,0.242,18.0,19.0,0.947,8.0,34.0,42.0,27.0,3.0,4.0,11.0,23.0,104.0,,,,14.0,25.0,0.56,3.0,8.0,0.667,9.0,10.0,1.0,1.0,11.0,12.0,10.0,1.0,1.0,3.0,5.0,39.0,32.5,15.0,PHO,104,0,2025,2025-01-07,True
4,240.0,48.0,99.0,0.485,11.0,35.0,0.314,12.0,19.0,0.632,22.0,39.0,61.0,26.0,6.0,6.0,11.0,13.0,119.0,,,,13.0,26.0,1.0,6.0,11.0,0.75,3.0,6.0,1.0,7.0,8.0,13.0,6.0,2.0,3.0,2.0,3.0,34.0,24.7,22.0,POR,119,0,240.0,41.0,95.0,0.432,11.0,35.0,0.314,9.0,13.0,0.692,14.0,29.0,43.0,27.0,6.0,3.0,8.0,15.0,102.0,,,,11.0,19.0,0.667,3.0,7.0,0.5,2.0,4.0,1.0,6.0,12.0,18.0,9.0,2.0,2.0,3.0,4.0,25.0,24.2,1.0,PHI,102,1,2025,2025-03-03,True
5,240.0,41.0,95.0,0.432,11.0,35.0,0.314,9.0,13.0,0.692,14.0,29.0,43.0,27.0,6.0,3.0,8.0,15.0,102.0,,,,11.0,19.0,0.667,3.0,7.0,0.5,2.0,4.0,1.0,6.0,12.0,18.0,9.0,2.0,2.0,3.0,4.0,25.0,24.2,1.0,PHI,102,1,240.0,48.0,99.0,0.485,11.0,35.0,0.314,12.0,19.0,0.632,22.0,39.0,61.0,26.0,6.0,6.0,11.0,13.0,119.0,,,,13.0,26.0,1.0,6.0,11.0,0.75,3.0,6.0,1.0,7.0,8.0,13.0,6.0,2.0,3.0,2.0,3.0,34.0,24.7,22.0,POR,119,0,2025,2025-03-03,False
6,240.0,34.0,92.0,0.37,14.0,38.0,0.368,20.0,23.0,0.87,14.0,34.0,48.0,25.0,9.0,3.0,19.0,16.0,102.0,,,,5.0,14.0,0.6,3.0,6.0,0.667,17.0,19.0,1.0,5.0,7.0,10.0,7.0,4.0,1.0,5.0,4.0,26.0,18.5,4.0,OKC,102,0,240.0,48.0,94.0,0.511,14.0,38.0,0.368,13.0,16.0,0.813,10.0,40.0,50.0,32.0,13.0,9.0,17.0,19.0,123.0,,,,9.0,19.0,1.0,5.0,12.0,0.667,8.0,10.0,1.0,3.0,10.0,13.0,11.0,2.0,5.0,3.0,3.0,26.0,28.2,15.0,MEM,123,1,2023,2022-12-07,False
7,240.0,48.0,94.0,0.511,14.0,38.0,0.368,13.0,16.0,0.813,10.0,40.0,50.0,32.0,13.0,9.0,17.0,19.0,123.0,,,,9.0,19.0,1.0,5.0,12.0,0.667,8.0,10.0,1.0,3.0,10.0,13.0,11.0,2.0,5.0,3.0,3.0,26.0,28.2,15.0,MEM,123,1,240.0,34.0,92.0,0.37,14.0,38.0,0.368,20.0,23.0,0.87,14.0,34.0,48.0,25.0,9.0,3.0,19.0,16.0,102.0,,,,5.0,14.0,0.6,3.0,6.0,0.667,17.0,19.0,1.0,5.0,7.0,10.0,7.0,4.0,1.0,5.0,4.0,26.0,18.5,4.0,OKC,102,0,2023,2022-12-07,True
8,240.0,41.0,84.0,0.488,11.0,34.0,0.324,11.0,16.0,0.688,10.0,34.0,44.0,22.0,5.0,7.0,18.0,25.0,104.0,,,,6.0,10.0,1.0,2.0,6.0,0.667,4.0,6.0,1.0,3.0,6.0,7.0,6.0,2.0,2.0,4.0,4.0,14.0,14.4,10.0,DET,104,0,240.0,41.0,84.0,0.488,9.0,30.0,0.3,27.0,31.0,0.871,9.0,35.0,44.0,22.0,11.0,4.0,11.0,18.0,118.0,,,,11.0,16.0,1.0,3.0,7.0,1.0,6.0,8.0,1.0,5.0,9.0,14.0,4.0,5.0,2.0,3.0,4.0,29.0,26.8,26.0,PHI,118,1,2021,2021-05-08,False
9,240.0,41.0,84.0,0.488,9.0,30.0,0.3,27.0,31.0,0.871,9.0,35.0,44.0,22.0,11.0,4.0,11.0,18.0,118.0,,,,11.0,16.0,1.0,3.0,7.0,1.0,6.0,8.0,1.0,5.0,9.0,14.0,4.0,5.0,2.0,3.0,4.0,29.0,26.8,26.0,PHI,118,1,240.0,41.0,84.0,0.488,11.0,34.0,0.324,11.0,16.0,0.688,10.0,34.0,44.0,22.0,5.0,7.0,18.0,25.0,104.0,,,,6.0,10.0,1.0,2.0,6.0,0.667,4.0,6.0,1.0,3.0,6.0,7.0,6.0,2.0,2.0,4.0,4.0,14.0,14.4,10.0,DET,104,0,2021,2021-05-08,True
