team,team_opp,date,season,home,won,pts_roll10,fg%_roll10,3p%_roll10,ft%_roll10,orb_roll10,drb_roll10,trb_roll10,ast_roll10,stl_roll10,blk_roll10,tov_roll10,pts_opp_roll10,fg%_opp_roll10,trb_opp_roll10,ast_opp_roll10,tov_opp_roll10,rest_days,back_to_back,win_pct_last10,h2h_win_pct,opp_pts_roll10,opp_fg%_roll10,opp_3p%_roll10,opp_ft%_roll10,opp_orb_roll10,opp_drb_roll10,opp_trb_roll10,opp_ast_roll10,opp_stl_roll10,opp_blk_roll10,opp_tov_roll10,opp_pts_opp_roll10,opp_fg%_opp_roll10,opp_trb_opp_roll10,opp_ast_opp_roll10,opp_tov_opp_roll10,opp_rest_days,opp_back_to_back,opp_win_pct_last10,opp_h2h_win_pct
ATL,BOS,2022-11-16,2023,1,False,109.7,0.45020000000000004,0.3151,0.8038000000000001,12.2,34.2,46.4,22.1,7.0,3.6,13.6,108.2,0.44060000000000005,44.7,22.5,14.7,2.0,0,0.6,0.5,118.3,0.47540000000000004,0.3556,0.8443999999999999,8.3,34.9,43.2,26.3,6.3,5.4,12.8,111.8,0.4551,44.5,22.0,13.2,2.0,0,0.8,0.5
ATL,BOS,2023-04-09,2023,0,False,125.2,0.5194000000000001,0.3632,0.8012,11.1,33.6,44.7,26.7,7.5,4.2,14.3,122.5,0.5104,39.3,25.9,12.5,2.0,0,0.5,0.0,111.1,0.44800000000000006,0.3579,0.7772,11.5,36.1,47.6,25.0,5.5,5.8,14.8,109.0,0.45120000000000005,43.6,23.0,10.8,2.0,0,0.6,1.0
ATL,BOS,2023-04-15,2023,0,False,122.5,0.5015,0.3336,0.7668999999999999,12.9,35.2,48.1,26.9,8.0,4.7,13.9,120.4,0.4909,40.9,26.1,12.4,4.0,0,0.5,0.0,110.1,0.44580000000000003,0.3577,0.7598,11.3,36.3,47.6,24.9,5.9,5.7,15.1,108.6,0.45099999999999996,44.8,23.1,11.2,6.0,0,0.6,1.0
ATL,BOS,2023-04-18,2023,0,False,122.4,0.49440000000000006,0.3205,0.7855000000000001,13.4,34.9,48.3,26.8,8.7,4.7,13.1,120.5,0.4923,42.0,25.8,13.0,3.0,0,0.5,0.0,109.2,0.4537,0.3654,0.7697999999999999,10.7,36.4,47.1,25.3,5.5,5.9,15.1,106.7,0.44980000000000003,44.6,22.6,10.7,3.0,0,0.6,1.0
ATL,BOS,2023-04-21,2023,1,True,119.3,0.4774999999999999,0.31589999999999996,0.7567,14.2,34.4,48.6,26.3,9.2,4.5,13.0,119.2,0.49610000000000004,42.7,25.5,13.4,3.0,0,0.4,0.0,110.5,0.46480000000000005,0.3652,0.7565000000000001,10.1,37.3,47.4,25.6,5.6,6.3,15.2,106.9,0.4389,45.4,22.3,10.9,3.0,0,0.6,1.0
ATL,BOS,2023-04-23,2023,1,False,121.0,0.4861000000000001,0.3341,0.758,13.8,34.9,48.7,26.3,8.5,4.9,14.0,119.4,0.4925,41.9,26.1,13.2,2.0,0,0.5,0.2,112.9,0.47030000000000005,0.3699,0.7525999999999999,9.9,36.7,46.6,26.3,6.2,5.9,14.6,108.6,0.44369999999999993,46.2,22.5,11.7,2.0,0,0.6,0.8
ATL,BOS,2023-04-25,2023,0,True,120.6,0.48319999999999996,0.32859999999999995,0.7655000000000001,13.2,35.2,48.4,26.2,8.8,5.3,14.5,119.4,0.48980000000000007,43.6,26.2,14.0,2.0,0,0.5,0.16666666666666666,116.3,0.47879999999999995,0.3786,0.7588,10.3,36.8,47.1,26.7,6.1,5.8,14.5,110.9,0.4513999999999999,45.3,22.9,12.1,2.0,0,0.7,0.8333333333333334
ATL,BOS,2023-04-27,2023,1,False,119.3,0.4829,0.34059999999999996,0.7837,12.2,34.3,46.5,26.0,8.3,5.4,14.3,118.1,0.4915,43.2,26.9,13.5,2.0,0,0.5,0.2857142857142857,116.3,0.49110000000000004,0.3754,0.7300000000000001,9.7,36.3,46.0,27.6,5.8,6.3,14.1,110.8,0.4525,43.7,23.8,12.0,2.0,0,0.7,0.7142857142857143
ATL,BOS,2023-11-26,2024,0,False,128.1,0.4901999999999999,0.3792,0.8253,14.7,31.3,46.0,26.4,9.2,5.0,14.8,124.3,0.49990000000000007,42.2,29.5,15.5,1.0,1,0.6,0.25,111.5,0.46390000000000003,0.35279999999999995,0.7784,8.7,34.7,43.4,24.9,5.4,5.5,12.8,106.7,0.4417,45.2,23.8,12.0,2.0,0,0.7,0.75
ATL,BOS,2024-03-25,2024,1,True,111.6,0.4652,0.39,0.7744000000000001,11.7,30.9,42.6,28.4,8.4,4.8,12.3,108.7,0.4701000000000001,42.6,26.4,14.0,2.0,0,0.5,0.2222222222222222,122.1,0.4883,0.413,0.7791,11.8,30.5,42.3,28.7,7.4,5.7,10.0,107.2,0.4911,40.8,24.7,12.8,2.0,0,0.9,0.7777777777777778
ATL,BOS,2024-03-28,2024,1,True,112.8,0.46810000000000007,0.41,0.7599,11.9,29.9,41.8,28.4,8.8,5.2,12.6,111.0,0.4880000000000001,41.5,26.6,14.1,1.0,1,0.5,0.3,123.0,0.49269999999999997,0.413,0.7834999999999999,11.7,29.7,41.4,28.4,7.5,6.2,9.7,107.7,0.49399999999999994,40.7,25.0,13.3,3.0,0,0.9,0.7
ATL,BOS,2024-11-04,2025,1,False,117.9,0.49210000000000004,0.39670000000000005,0.7883,11.2,31.2,42.4,29.1,8.3,4.7,12.6,115.0,0.48740000000000006,41.3,27.0,14.1,1.0,1,0.6,0.36363636363636365,113.7,0.4782,0.34500000000000003,0.8254000000000001,10.0,31.4,41.4,23.9,7.3,5.1,12.2,107.4,0.4819000000000001,38.6,25.3,13.0,2.0,0,0.9,0.6363636363636364
ATL,BOS,2024-11-12,2025,0,True,116.5,0.4789,0.3744,0.7572,11.6,31.6,43.2,27.5,8.6,4.6,14.1,118.8,0.4932,43.1,27.4,15.2,3.0,0,0.5,0.3333333333333333,117.1,0.45909999999999995,0.33449999999999996,0.8160000000000001,10.0,32.6,42.6,24.7,8.5,5.5,12.4,108.5,0.4694999999999999,43.5,25.1,14.9,2.0,0,0.9,0.6666666666666666
ATL,BOS,2025-01-18,2025,0,True,119.5,0.4622,0.365,0.7821,12.2,31.6,43.8,29.9,10.7,4.9,13.3,119.4,0.49849999999999994,45.6,30.2,17.0,3.0,0,0.6,0.38461538461538464,111.1,0.46349999999999997,0.359,0.7394000000000001,11.4,32.1,43.5,24.6,7.4,6.2,11.3,104.3,0.4431999999999999,44.8,22.2,13.7,1.0,1,0.6,0.6153846153846154
ATL,BRK,2020-12-30,2021,0,False,124.66666666666667,0.48433333333333334,0.4123333333333334,0.8569999999999999,9.666666666666666,38.666666666666664,48.333333333333336,25.666666666666668,5.0,5.0,17.0,112.0,0.417,43.666666666666664,21.333333333333332,11.666666666666666,2.0,0,1.0,0.5,115.75,0.45825000000000005,0.41025,0.8035,10.25,38.75,49.0,24.0,8.25,7.0,18.0,104.0,0.40725,50.5,26.0,16.75,2.0,0,0.5,0.5
ATL,BRK,2021-11-03,2022,0,False,105.8,0.4558,0.33940000000000003,0.7783,11.7,34.7,46.4,22.9,7.4,4.3,13.6,107.2,0.4521,44.8,24.1,12.5,2.0,0,0.5,0.0,104.6,0.4659,0.3447,0.7656,7.0,37.3,44.3,22.1,6.7,5.0,14.5,105.9,0.43170000000000003,46.1,19.8,12.1,3.0,0,0.5,1.0
ATL,BRK,2021-12-10,2022,1,False,111.0,0.4532000000000001,0.4117,0.8167,9.2,33.8,43.0,23.0,6.1,4.3,12.8,115.1,0.48579999999999995,41.8,25.7,12.1,4.0,0,0.3,0.0,108.7,0.47920000000000007,0.37279999999999996,0.8044,8.3,37.4,45.7,26.6,5.6,4.3,14.8,102.9,0.4298,43.3,21.2,12.2,2.0,0,0.7,1.0
ATL,BRK,2022-04-02,2022,1,True,109.6,0.44480000000000003,0.36619999999999997,0.8176,10.7,32.6,43.3,22.3,7.0,4.6,12.0,115.7,0.4984,42.9,28.2,12.1,10.0,0,0.3,0.0,112.1,0.4734,0.3316,0.8173999999999999,10.9,36.8,47.7,25.6,6.3,6.2,15.1,108.9,0.42400000000000004,43.0,23.0,12.5,10.0,0,0.7,1.0
ATL,BRK,2022-12-09,2023,0,False,110.7,0.4664,0.3194,0.8044,10.7,32.2,42.9,22.3,7.3,4.5,14.4,113.1,0.48390000000000005,44.8,26.2,16.5,2.0,0,0.4,0.25,112.3,0.528,0.3855,0.7611000000000001,6.0,33.7,39.7,26.9,5.9,7.4,15.3,108.6,0.4483,44.5,21.4,13.1,2.0,0,0.7,0.75
ATL,BRK,2022-12-28,2023,1,False,115.8,0.4676,0.35350000000000004,0.8407,9.8,32.1,41.9,24.7,6.4,4.9,12.9,119.3,0.4869,46.8,26.8,15.0,1.0,1,0.4,0.2,121.1,0.5397000000000001,0.43200000000000005,0.8109,9.1,31.8,40.9,27.1,7.2,5.4,15.0,113.5,0.4856999999999999,38.7,22.2,15.4,2.0,0,0.9,0.8
ATL,BRK,2023-11-22,2024,1,True,125.2,0.5015000000000001,0.38110000000000005,0.8384,12.5,31.0,43.5,27.1,9.0,4.9,15.2,121.3,0.4965,39.9,28.0,15.6,1.0,1,0.6,0.16666666666666666,110.4,0.4532,0.3812,0.7537,11.1,35.3,46.4,24.8,5.7,5.0,13.4,112.0,0.4502,44.4,24.3,11.5,3.0,0,0.5,0.8333333333333334
ATL,BRK,2023-12-06,2024,1,False,125.7,0.47750000000000004,0.39239999999999997,0.8117000000000001,12.9,29.1,42.0,24.4,9.8,4.4,12.9,128.0,0.5186999999999999,46.0,31.1,16.8,4.0,0,0.4,0.2857142857142857,118.7,0.4789,0.3947,0.7668999999999999,13.9,36.4,50.3,25.9,6.9,5.7,14.0,112.7,0.44489999999999996,42.1,25.1,11.2,4.0,0,0.6,0.7142857142857143
ATL,BRK,2024-03-02,2024,0,False,122.1,0.4791,0.3782,0.7946,12.5,32.3,44.8,28.0,6.5,4.6,13.0,122.5,0.5007,42.8,29.2,12.2,10.0,0,0.4,0.25,112.6,0.4455,0.3412,0.7352,14.0,31.3,45.3,27.4,6.2,5.5,11.5,122.1,0.5003,45.4,28.9,11.4,10.0,0,0.2,0.75
ATL,BRK,2025-03-16,2025,0,False,115.3,0.466,0.33940000000000003,0.781,12.5,30.7,43.2,27.9,9.3,5.4,14.8,118.4,0.48869999999999997,43.9,27.5,15.9,2.0,0,0.5,0.2222222222222222,106.6,0.43709999999999993,0.33430000000000004,0.7830999999999999,12.1,28.5,40.6,26.3,8.2,5.5,11.9,110.9,0.47240000000000004,46.0,28.0,15.0,1.0,1,0.2,0.7777777777777778
ATL,CHI,2021-05-01,2021,1,True,110.9,0.4852,0.3707,0.8169000000000001,9.8,33.5,43.3,24.3,6.7,4.3,11.3,106.2,0.46030000000000004,42.5,24.4,12.6,10.0,0,0.6,1.0,107.8,0.46319999999999995,0.32599999999999996,0.8242,11.9,35.9,47.8,27.1,6.5,4.3,15.3,110.0,0.47440000000000004,41.1,24.6,12.2,10.0,0,0.3,0.0
ATL,CHI,2021-12-27,2022,1,False,108.4,0.4446,0.3703,0.8114000000000001,10.4,34.4,44.8,23.2,6.7,4.8,13.5,111.6,0.46529999999999994,42.7,25.3,11.2,2.0,0,0.3,1.0,111.9,0.47170000000000006,0.38089999999999996,0.7918,10.1,33.0,43.1,23.1,6.8,5.2,12.2,108.7,0.47319999999999995,44.7,25.9,13.2,1.0,1,0.8,0.0
ATL,CHI,2021-12-29,2022,0,False,110.6,0.4487,0.3787,0.8199,10.4,34.2,44.6,23.4,6.5,5.0,13.0,114.8,0.47269999999999995,43.1,26.0,11.1,2.0,0,0.3,0.6666666666666666,113.1,0.4791,0.40049999999999997,0.7782,9.5,32.4,41.9,23.9,6.5,5.3,12.3,111.0,0.47859999999999997,45.0,26.2,12.7,2.0,0,0.8,0.3333333333333333
ATL,CHI,2022-12-11,2023,1,True,109.9,0.4659,0.32589999999999997,0.8138,10.8,30.9,41.7,22.1,8.0,4.4,14.7,112.9,0.4937,43.5,26.5,17.2,2.0,0,0.3,0.5,116.3,0.49090000000000006,0.36340000000000006,0.7950999999999999,8.1,35.1,43.2,25.7,7.6,4.7,13.1,114.5,0.47509999999999997,43.9,26.1,15.7,1.0,1,0.5,0.5
ATL,CHI,2022-12-21,2023,1,False,116.2,0.4796,0.3353,0.8012,11.5,31.3,42.8,24.2,6.6,4.1,13.9,118.7,0.4923,44.4,28.5,16.2,2.0,0,0.5,0.6,115.6,0.5105999999999999,0.3667,0.8065,5.7,33.8,39.5,26.2,7.3,3.7,14.8,120.5,0.492,43.4,26.6,15.0,1.0,1,0.3,0.4
ATL,CHI,2023-01-23,2023,0,False,118.6,0.5147999999999999,0.3993,0.8522000000000001,7.5,32.4,39.9,24.3,6.8,5.1,12.7,116.4,0.47750000000000004,44.5,26.6,13.3,2.0,0,0.7,0.5,117.3,0.5022,0.37460000000000004,0.7897000000000001,7.8,34.8,42.6,22.9,8.0,4.4,12.1,114.7,0.46799999999999997,44.5,26.3,13.7,4.0,0,0.5,0.5
ATL,CHI,2023-04-04,2023,0,True,122.9,0.5244,0.3927,0.8275,10.2,31.4,41.6,25.3,7.1,3.6,12.8,120.6,0.5085,38.5,26.2,12.9,2.0,0,0.6,0.42857142857142855,114.1,0.4939,0.3254,0.8029,8.3,34.4,42.7,24.6,8.3,4.8,12.7,110.1,0.45729999999999993,45.4,25.7,15.1,2.0,0,0.5,0.5714285714285714
ATL,CHI,2023-12-26,2024,0,False,121.7,0.47400000000000003,0.3831,0.8393,13.0,30.8,43.8,27.0,6.2,4.6,12.4,123.2,0.5037999999999999,44.2,27.6,13.0,3.0,0,0.3,0.5,114.8,0.4678,0.3942,0.8075000000000001,12.4,33.0,45.4,25.4,7.1,5.2,11.4,110.9,0.46449999999999997,42.6,27.6,13.1,3.0,0,0.6,0.5
ATL,CHI,2024-11-09,2025,1,False,118.4,0.48840000000000006,0.391,0.7696,11.7,31.9,43.6,28.4,8.7,4.6,13.6,115.4,0.4849,42.3,26.9,14.9,1.0,1,0.6,0.4444444444444444,113.3,0.483,0.38449999999999995,0.7854,9.4,32.8,42.2,28.3,7.4,4.4,12.8,119.2,0.48529999999999995,44.4,29.7,12.9,2.0,0,0.2,0.5555555555555556
ATL,CHI,2024-11-22,2025,0,False,113.6,0.4585,0.3402,0.7642,13.6,32.7,46.3,29.8,10.3,5.3,16.6,117.2,0.4694,45.1,28.2,17.4,2.0,0,0.5,0.4,116.7,0.4755,0.3775,0.8238,9.3,32.6,41.9,28.9,7.8,4.8,15.9,126.5,0.5037,45.7,30.9,12.5,2.0,0,0.3,0.6
ATL,CHI,2024-12-26,2025,1,True,116.0,0.46799999999999997,0.3493,0.7796000000000001,12.3,35.8,48.1,29.0,10.6,5.2,17.8,116.8,0.46909999999999996,43.0,29.6,16.8,3.0,0,0.6,0.36363636363636365,115.6,0.4582,0.3502,0.8348000000000001,8.9,36.9,45.8,29.7,8.1,4.7,13.9,116.3,0.45729999999999993,48.6,25.4,12.6,3.0,0,0.5,0.6363636363636364
ATL,CHI,2025-01-15,2025,0,True,120.2,0.4746,0.3848,0.7947,11.4,31.1,42.5,29.8,11.1,5.0,14.5,120.4,0.4971,44.6,31.0,17.1,1.0,1,0.6,0.4166666666666667,120.7,0.47830000000000006,0.3997,0.7666999999999999,11.1,37.0,48.1,30.8,8.1,4.8,14.4,119.8,0.46390000000000003,47.3,30.4,13.0,1.0,1,0.5,0.5833333333333334
ATL,CHO,2021-12-05,2022,1,False,106.7,0.44959999999999994,0.3798,0.7927,9.7,33.1,42.8,22.0,6.2,3.6,13.7,115.5,0.49250000000000005,41.7,26.4,12.8,2.0,0,0.2,0.5,112.8,0.4471,0.3736,0.7599,10.5,32.3,42.8,25.8,9.5,5.6,14.5,118.6,0.47490000000000004,50.1,26.8,16.4,4.0,0,0.3,0.5
